"index","title","file_name","size_bytes","size_mb","width","height","thumb_width","thumb_height","preview_url","original_url","source_page","license","license_url","artist","credit"
"12","File:0011p8301Campanile1.gif","12_0011p8301Campanile1.gif","1110124","1,06","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/8/81/0011p8301Campanile1.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/8/81/0011p8301Campanile1.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A0011p8301Campanile1.gif","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Mrewitz","Own work"
"13","File:0031p0506Matthaeus1.gif","13_0031p0506Matthaeus1.gif","1026930","0,98","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/8/83/0031p0506Matthaeus1.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/8/83/0031p0506Matthaeus1.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A0031p0506Matthaeus1.gif","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","Mrewitz","Own work"
"14","File:01 gif animation experimental digital photography by Rick Doble.gif","14_01_gif_animation_experimental_digital_photography_by_Rick_Doble.gif","152021","0,14","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/3/3d/01_gif_animation_experimental_digital_photography_by_Rick_Doble.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/3/3d/01_gif_animation_experimental_digital_photography_by_Rick_Doble.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A01_gif_animation_experimental_digital_photography_by_Rick_Doble.gif","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Rick Doble","Own work"
"15","File:01 Vaya kachestvo.gif","15_01_Vaya_kachestvo.gif","28531","0,03","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/f/fc/01_Vaya_kachestvo.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/f/fc/01_Vaya_kachestvo.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A01_Vaya_kachestvo.gif","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","User:Vaya","Own work"
"16","File:104-Uniform 14VRP p4g (6px).gif","16_104-Uniform_14VRP_p4g_(6px).gif","16628","0,02","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/a/ad/104-Uniform_14VRP_p4g_%286px%29.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/a/ad/104-Uniform_14VRP_p4g_%286px%29.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A104-Uniform_14VRP_p4g_(6px).gif","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Harry Princeton","Own work"
"17","File:1200am blink.gif","17_1200am_blink.gif","6143","0,01","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/b/b6/1200am_blink.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/b/b6/1200am_blink.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A1200am_blink.gif","Public domain","","Original : Anakin101 Deriv : Scarce","File:LED digit 1.png File:LED digit 2.png File:LED colon.png File:LED digit 0.png File:LED am.png"
"18","File:16x9 animated 135.gif","18_16x9_animated_135.gif","3893","0","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/f/fe/16x9_animated_135.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/f/fe/16x9_animated_135.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A16x9_animated_135.gif","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","Scarabaeus23","Own work"
"19","File:6X6 Anim 5PX.gif","19_6X6_Anim_5PX.gif","106","0","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/e/e5/6X6_Anim_5PX.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/e/e5/6X6_Anim_5PX.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A6X6_Anim_5PX.gif","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","Wikisoft* @@@-fr 09:16, 24 May 2008 (UTC)","Wikisoft* @@@-fr 09:16, 24 May 2008 (UTC)"
"20","File:8x8anim-3colours.gif","20_8x8anim-3colours.gif","194","0","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/e/ef/8x8anim-3colours.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/e/ef/8x8anim-3colours.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A8x8anim-3colours.gif","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","André437","Own work"
"21","File:8x8anim-lime-black.gif","21_8x8anim-lime-black.gif","138","0","0","0","0","0","https://upload.wikimedia.org/wikipedia/commons/f/f1/8x8anim-lime-black.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://upload.wikimedia.org/wikipedia/commons/f/f1/8x8anim-lime-black.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original","https://commons.wikimedia.org/wiki/File%3A8x8anim-lime-black.gif","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","André437","Own work"
